scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5-F4a,0,6223227,6223258,6223284,6235357,6240917,ok
S5-F4a,1,7059228,7059259,7059288,7085351,7090911,ok
S5-F4a,2,7739228,7739259,7739288,7775351,7780911,ok
S5-F4a,3,8762227,8762258,8762284,8805353,8810913,ok
S5-F4a,4,9639228,9639259,9639288,9695351,9700911,ok
S5-F4a,5,10236228,10236262,10236288,10305357,10310917,ok
S5-F4a,6,10948231,10948262,10948288,11025357,11030917,ok
S5-F4a,7,11588231,11588263,11588288,11675357,11680917,ok
S5-F4a,8,13079228,13079259,13079288,13175357,13180917,ok
S5-F4a,9,14426228,14426262,14426288,14535357,14540917,ok
S5-F4a,10,15574227,15574258,15574285,15685357,15690917,ok
S5-F4a,11,16241227,16241259,16241286,16365357,16370917,ok
S5-F4a,12,17455227,17455258,17455285,17585357,17590917,ok
S5-F4a,13,18367228,18367259,18367289,18515357,18520917,ok
S5-F4a,14,19573227,19573258,19573285,19725357,19730917,ok
S5-F4a,15,20919228,20919259,20919289,21075357,21080917,ok
S5-F4a,16,21546228,21546262,21546289,21705357,21710917,ok
S5-F4a,17,22159228,22159259,22159289,22315357,22320917,ok
S5-F4a,18,23571227,23571259,23571286,23725357,23730917,ok
S5-F4a,19,24653227,24653258,24653285,24805357,24810917,ok
S5-F4a,20,26041227,26041259,26041286,26195357,26200917,ok
S5-F4a,21,26716228,26716262,26716289,26875357,26880917,ok
S5-F4a,22,27699228,27699259,27699289,27855357,27860917,ok
S5-F4a,23,28954227,28954258,28954285,29105357,29110917,ok
S5-F4a,24,30084227,30084258,30084285,30235357,30240917,ok
S5-F4a,25,30706228,30706262,30706289,30865357,30870917,ok
S5-F4a,26,31990233,31990264,31990291,32145357,32150917,ok
S5-F4a,27,32699228,32699259,32699289,32855357,32860917,ok
S5-F4a,28,33641227,33641259,33641286,33795357,33800917,ok
S5-F4a,29,34444227,34444258,34444285,34595357,34600917,ok
S5-F4a,30,35936228,35936262,35936289,36095357,36100917,ok
S5-F4a,31,36470233,36470264,36470291,36625357,36630917,ok
S5-F4a,32,37010233,37010264,37010291,37165357,37170917,ok
S5-F4a,33,37608231,37608262,37608289,37765357,37770917,ok
S5-F4a,34,38860233,38860265,38860291,38944776,38950335,ok
