scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5a,0,6223227,6225372,6225395,6245352,6250912,ok
S5a,1,7059228,7059263,7059287,7085350,7090909,ok
S5a,2,7739228,7739263,7739287,7775350,7780909,ok
S5a,3,8762227,8765372,8765395,8815350,8820909,ok
S5a,4,9639228,9639263,9639287,9695349,9700909,ok
S5a,5,10236231,10236263,10236287,10305352,10310912,ok
S5a,6,10948231,10948263,10948287,11025352,11030912,ok
S5a,7,11588231,11588263,11588287,11675352,11680912,ok
S5a,8,13079228,13079263,13079287,13175352,13180912,ok
S5a,9,14426231,14426263,14426287,14535352,14540912,ok
S5a,10,15574227,15575374,15575399,15695352,15700912,ok
S5a,11,16241227,16245374,16245399,16375352,16380912,ok
S5a,12,17455227,17455373,17455398,17595352,17600912,ok
S5a,13,18367228,18367260,18367288,18515352,18520912,ok
S5a,14,19573227,19575374,19575399,,,tx_drop
S5a,15,20919228,20919263,20919288,21075352,21080912,ok
S5a,16,21546231,21546263,21546288,21705352,21710912,ok
S5a,17,22159228,22159263,22159288,22315352,22320912,ok
S5a,18,23571227,23575374,23575399,,,tx_drop
S5a,19,24653227,24655374,24655399,,,tx_drop
S5a,20,26041227,26045374,26045399,,,tx_drop
S5a,21,26716231,26716263,26716288,26875352,26880912,ok
S5a,22,27699228,27699263,27699288,27855352,27860912,ok
S5a,23,28954227,28955374,28955399,,,tx_drop
S5a,24,30084227,30085374,30085399,,,tx_drop
S5a,25,30706231,30706263,30706288,30865352,30870912,ok
S5a,26,31990230,31995369,31995394,,,tx_drop
S5a,27,32699228,32699260,32699288,32855352,32860912,ok
S5a,28,33641227,33645374,33645399,,,tx_drop
S5a,29,34444227,34445374,34445399,,,tx_drop
S5a,30,35936231,35936263,35936288,36095352,36100912,ok
S5a,31,36470230,36475369,36475394,,,tx_drop
S5a,32,37010230,37015369,37015394,,,tx_drop
S5a,33,37608231,37608263,37608288,37765352,37770912,ok
S5a,34,38860230,38860272,38860297,38944771,38950331,ok
